,u,i,ts,label,idx
0,127,218,0.0,0.0,1
1,136,218,0.0,0.0,2
2,56,218,0.0,0.0,3
3,169,218,0.0,0.0,4
4,199,218,0.0,0.0,5
5,99,218,0.0,0.0,6
6,218,99,0.0,0.0,7
7,137,218,0.0,0.0,8
8,125,218,0.0,0.0,9
9,202,218,0.0,0.0,10
10,218,202,0.0,0.0,11
11,214,218,0.0,0.0,12
12,218,214,0.0,0.0,13
13,218,94,0.0,0.0,14
14,94,218,0.0,0.0,15
15,34,218,0.0,0.0,16
16,218,223,0.0,0.0,17
17,247,218,0.0,0.0,18
18,218,247,0.0,0.0,19
19,15,218,0.0,0.0,20
20,195,218,0.0,0.0,21
21,218,195,0.0,0.0,22
22,133,218,0.0,0.0,23
23,218,133,0.0,0.0,24
24,40,218,0.0,0.0,25
25,241,218,0.0,0.0,26
26,196,218,0.0,0.0,27
27,218,26,0.0,0.0,28
28,218,121,0.0,0.0,29
29,121,218,0.0,0.0,30
30,172,218,0.0,0.0,31
31,178,218,0.0,0.0,32
32,113,218,0.0,0.0,33
33,183,218,0.0,0.0,34
34,218,183,0.0,0.0,35
35,105,218,0.0,0.0,36
36,63,218,0.0,0.0,37
37,218,63,0.0,0.0,38
38,112,218,0.0,0.0,39
39,218,124,0.0,0.0,40
40,249,218,0.0,0.0,41
41,44,218,0.0,0.0,42
42,130,218,0.0,0.0,43
43,20,218,0.0,0.0,44
44,218,20,0.0,0.0,45
45,78,218,0.0,0.0,46
46,18,218,0.0,0.0,47
47,7,218,0.0,0.0,48
48,218,96,0.0,0.0,49
49,180,218,0.0,0.0,50
50,95,218,0.0,0.0,51
51,234,218,0.0,0.0,52
52,186,218,0.0,0.0,53
53,163,218,0.0,0.0,54
54,87,218,0.0,0.0,55
55,200,218,0.0,0.0,56
56,218,200,0.0,0.0,57
57,73,218,0.0,0.0,58
58,218,73,0.0,0.0,59
59,72,218,0.0,0.0,60
60,4,218,0.0,0.0,61
61,192,218,0.0,0.0,62
62,218,192,0.0,0.0,63
63,255,218,0.0,0.0,64
64,218,255,0.0,0.0,65
65,86,218,0.0,0.0,66
66,218,86,0.0,0.0,67
67,41,218,0.0,0.0,68
68,206,218,0.0,0.0,69
69,218,206,0.0,0.0,70
70,126,218,0.0,0.0,71
71,226,218,0.0,0.0,72
72,251,218,0.0,0.0,73
73,218,251,0.0,0.0,74
74,221,218,0.0,0.0,75
75,75,218,0.0,0.0,76
76,218,75,0.0,0.0,77
77,98,218,0.0,0.0,78
78,136,127,0.0,0.0,79
79,136,71,0.0,0.0,80
80,136,215,0.0,0.0,81
81,136,56,0.0,0.0,82
82,56,136,0.0,0.0,83
83,169,136,0.0,0.0,84
84,136,169,0.0,0.0,85
85,136,5,0.0,0.0,86
86,136,134,0.0,0.0,87
87,136,199,0.0,0.0,88
88,136,46,0.0,0.0,89
89,136,99,0.0,0.0,90
90,99,136,0.0,0.0,91
91,136,177,0.0,0.0,92
92,136,68,0.0,0.0,93
93,136,109,0.0,0.0,94
94,109,136,0.0,0.0,95
95,136,139,0.0,0.0,96
96,136,137,0.0,0.0,97
97,137,136,0.0,0.0,98
98,125,136,0.0,0.0,99
99,136,125,0.0,0.0,100
100,136,42,0.0,0.0,101
101,202,136,0.0,0.0,102
102,136,202,0.0,0.0,103
103,136,214,0.0,0.0,104
104,214,136,0.0,0.0,105
105,93,136,0.0,0.0,106
106,136,93,0.0,0.0,107
107,136,170,0.0,0.0,108
108,94,136,0.0,0.0,109
109,136,94,0.0,0.0,110
110,136,154,0.0,0.0,111
111,154,136,0.0,0.0,112
112,136,34,0.0,0.0,113
113,34,136,0.0,0.0,114
114,136,223,0.0,0.0,115
115,136,148,0.0,0.0,116
116,148,136,0.0,0.0,117
117,247,136,0.0,0.0,118
118,136,247,0.0,0.0,119
119,136,15,0.0,0.0,120
120,15,136,0.0,0.0,121
121,136,88,0.0,0.0,122
122,195,136,0.0,0.0,123
123,136,195,0.0,0.0,124
124,136,155,0.0,0.0,125
125,136,9,0.0,0.0,126
126,136,133,0.0,0.0,127
127,133,136,0.0,0.0,128
128,136,38,0.0,0.0,129
129,136,2,0.0,0.0,130
130,136,40,0.0,0.0,131
131,40,136,0.0,0.0,132
132,241,136,0.0,0.0,133
133,136,241,0.0,0.0,134
134,196,136,0.0,0.0,135
135,136,196,0.0,0.0,136
136,136,81,0.0,0.0,137
137,136,26,0.0,0.0,138
138,26,136,0.0,0.0,139
139,121,136,0.0,0.0,140
140,136,121,0.0,0.0,141
141,136,90,0.0,0.0,142
142,136,172,0.0,0.0,143
143,172,136,0.0,0.0,144
144,136,156,0.0,0.0,145
145,156,136,0.0,0.0,146
146,136,153,0.0,0.0,147
147,79,136,0.0,0.0,148
148,136,79,0.0,0.0,149
149,136,100,0.0,0.0,150
150,136,57,0.0,0.0,151
151,57,136,0.0,0.0,152
152,136,178,0.0,0.0,153
153,136,113,0.0,0.0,154
154,113,136,0.0,0.0,155
155,136,183,0.0,0.0,156
156,136,150,0.0,0.0,157
157,136,244,0.0,0.0,158
158,105,136,0.0,0.0,159
159,136,105,0.0,0.0,160
160,189,136,0.0,0.0,161
161,136,189,0.0,0.0,162
162,63,136,0.0,0.0,163
163,136,63,0.0,0.0,164
164,30,136,0.0,0.0,165
165,136,112,0.0,0.0,166
166,112,136,0.0,0.0,167
167,136,80,0.0,0.0,168
168,136,124,0.0,0.0,169
169,136,24,0.0,0.0,170
170,136,101,0.0,0.0,171
171,136,92,0.0,0.0,172
172,136,249,0.0,0.0,173
173,249,136,0.0,0.0,174
174,136,62,0.0,0.0,175
175,136,171,0.0,0.0,176
176,130,136,0.0,0.0,177
177,136,130,0.0,0.0,178
178,136,224,0.0,0.0,179
179,136,252,0.0,0.0,180
180,136,20,0.0,0.0,181
181,20,136,0.0,0.0,182
182,136,107,0.0,0.0,183
183,78,136,0.0,0.0,184
184,136,78,0.0,0.0,185
185,136,18,0.0,0.0,186
186,136,160,0.0,0.0,187
187,136,96,0.0,0.0,188
188,96,136,0.0,0.0,189
189,136,52,0.0,0.0,190
190,180,136,0.0,0.0,191
191,136,180,0.0,0.0,192
192,136,140,0.0,0.0,193
193,140,136,0.0,0.0,194
194,136,95,0.0,0.0,195
195,95,136,0.0,0.0,196
196,136,64,0.0,0.0,197
197,64,136,0.0,0.0,198
198,234,136,0.0,0.0,199
199,136,234,0.0,0.0,200
200,136,186,0.0,0.0,201
201,186,136,0.0,0.0,202
202,136,163,0.0,0.0,203
203,163,136,0.0,0.0,204
204,136,16,0.0,0.0,205
205,136,243,0.0,0.0,206
206,243,136,0.0,0.0,207
207,136,87,0.0,0.0,208
208,136,211,0.0,0.0,209
209,136,182,0.0,0.0,210
210,136,115,0.0,0.0,211
211,136,13,0.0,0.0,212
212,200,136,0.0,0.0,213
213,136,200,0.0,0.0,214
214,136,254,0.0,0.0,215
215,254,136,0.0,0.0,216
216,73,136,0.0,0.0,217
217,136,73,0.0,0.0,218
218,72,136,0.0,0.0,219
219,136,72,0.0,0.0,220
220,136,4,0.0,0.0,221
221,136,192,0.0,0.0,222
222,192,136,0.0,0.0,223
223,255,136,0.0,0.0,224
224,136,255,0.0,0.0,225
225,136,86,0.0,0.0,226
226,136,41,0.0,0.0,227
227,41,136,0.0,0.0,228
228,136,49,0.0,0.0,229
229,136,144,0.0,0.0,230
230,136,206,0.0,0.0,231
231,126,136,0.0,0.0,232
232,136,126,0.0,0.0,233
233,136,22,0.0,0.0,234
234,136,145,0.0,0.0,235
235,136,226,0.0,0.0,236
236,226,136,0.0,0.0,237
237,136,216,0.0,0.0,238
238,251,136,0.0,0.0,239
239,136,251,0.0,0.0,240
240,136,97,0.0,0.0,241
241,97,136,0.0,0.0,242
242,136,221,0.0,0.0,243
243,136,174,0.0,0.0,244
244,174,136,0.0,0.0,245
245,75,136,0.0,0.0,246
246,136,75,0.0,0.0,247
247,56,127,0.0,0.0,248
248,127,56,0.0,0.0,249
249,56,37,0.0,0.0,250
250,37,56,0.0,0.0,251
251,56,215,0.0,0.0,252
252,169,56,0.0,0.0,253
253,56,169,0.0,0.0,254
254,56,5,0.0,0.0,255
255,56,134,0.0,0.0,256
256,56,199,0.0,0.0,257
257,199,56,0.0,0.0,258
258,46,56,0.0,0.0,259
259,56,46,0.0,0.0,260
260,56,99,0.0,0.0,261
261,99,56,0.0,0.0,262
262,56,177,0.0,0.0,263
263,56,68,0.0,0.0,264
264,109,56,0.0,0.0,265
265,56,139,0.0,0.0,266
266,56,137,0.0,0.0,267
267,137,56,0.0,0.0,268
268,56,167,0.0,0.0,269
269,125,56,0.0,0.0,270
270,56,125,0.0,0.0,271
271,1,56,0.0,0.0,272
272,56,1,0.0,0.0,273
273,56,42,0.0,0.0,274
274,56,91,0.0,0.0,275
275,56,202,0.0,0.0,276
276,202,56,0.0,0.0,277
277,56,214,0.0,0.0,278
278,214,56,0.0,0.0,279
279,56,231,0.0,0.0,280
280,56,93,0.0,0.0,281
281,93,56,0.0,0.0,282
282,170,56,0.0,0.0,283
283,56,170,0.0,0.0,284
284,237,56,0.0,0.0,285
285,94,56,0.0,0.0,286
